Player,Team,League,Version,OVR,POS,BIN,PAC,SHO,PAS,DRI,DEF,PHY,S/M,W/F,W/Rs,Foot,Stats

Ezri Konsa,Aston Villa,ENG 1,goldif,82,CB,24.8K,81,43,66,76,83,81,2,3,M/M,Right,"1,906"

Alex Moreno,Real Betis Balompié,ESP 1,goldif,82,LB,24K,91,64,76,81,76,69,3,3,H/M,Left,"2,101"

Angel Mena,León,MEX 1,goldif,82,RM,15K,85,80,76,87,49,53,4,4,H/M,Left,"1,986"

Jonas Hector,1. FC Köln,GER 1,goldif,82,LB,21.3K,64,64,80,79,81,80,3,4,M/M,Left,"2,089"

Mario Pasalic,Bergamo Calcio,ITA 1,goldif,82,LF,18.5K,69,80,80,81,71,80,4,4,H/M,Right,"2,115"

Amine Gouiri,OGC Nice,FRA 1,goldif,82,LM,19.8K,84,85,80,83,48,74,4,3,H/M,Right,"2,096"

Hamari Traore,Stade Rennais,FRA 1,goldif,82,RB,17.5K,88,57,76,79,77,80,3,3,H/M,Right,"2,057"

Enis Bardhi,Levante UD,ESP 1,goldif,82,CM,29.3K,79,84,81,85,66,60,4,4,M/M,Right,"2,161"

Xherdan Shaqiri,Olympique Lyonnais,FRA 1,goldif,82,CAM,16.5K,79,80,84,84,49,70,5,4,M/L,Left,"2,080"

Sergi Darder,RCD Espanyol,ESP 1,goldif,82,CM,27K,70,78,82,82,74,75,4,3,M/M,Right,"2,141"

Dusan Vlahovic,Fiorentina,ITA 1,goldif,82,ST,22.8K,80,84,62,78,30,81,3,3,M/M,Left,"1,852"

Vincenzo Grifo,SC Freiburg,GER 1,goldif,82,LM,19K,75,78,82,84,44,66,4,2,M/M,Right,"2,012"

Tom Barkhuizen,Preston North End,ENG 2,rulebreakers,82,RM,13.8K,87,78,71,88,50,80,3,3,H/M,Right,"2,061"

Christian Gunter,SC Freiburg,GER 1,goldif,82,LWB,20.3K,86,58,74,74,78,84,3,2,H/M,Left,"2,021"

Antonio Candreva,Sampdoria,ITA 1,goldif,82,RM,26.5K,76,82,82,83,64,66,4,4,M/M,Right,"2,102"

Duje Caleta-Car,Olympique de Marseille,FRA 1,goldif,82,CB,17.8K,64,43,64,67,84,86,2,3,M/H,Right,"1,818"

Mehdi Taremi,FC Porto,POR 1,goldif,82,ST,15.5K,80,82,74,83,41,75,4,4,H/M,Right,"1,969"

Joakim Maehle,Bergamo Calcio,ITA 1,ucllive,82,RWB,12.5K,91,61,74,80,74,83,3,3,M/M,Right,"2,061"

Jude Bellingham,Borussia Dortmund,GER 1,goldif,82,CM,19.3K,78,73,77,83,79,80,3,4,H/H,Right,"2,128"

Alex Teixeira,Beşiktaş,TUR 1,ucllive,82,ST,14K,88,82,78,85,45,76,4,4,H/L,Right,"2,087"

Wilson Manafa,FC Porto,POR 1,ucllive,82,RB,29.5K,90,65,75,81,75,75,3,4,H/M,Right,"2,088"

Hector Bellerin,Real Betis Balompié,ESP 1,otw,82,RB,12.5K,87,55,74,81,77,70,3,2,H/L,Right,"2,006"

Fikayo Tomori,Milan,ITA 1,otw,82,CB,89K,85,39,62,70,83,82,2,4,M/M,Right,"1,829"

Rodrigo Javier De Paul,Atlético de Madrid,ESP 1,otw,82,CM,11.3K,78,76,80,82,71,79,4,3,H/M,Right,"2,123"

Guus Til,Feyenoord,NED 1,erepotm,82,CAM,,79,82,81,83,71,80,3,3,M/M,Right,"2,180"

Aurelien Tchouameni,AS Monaco,FRA 1,goldif,82,CM,23.5K,75,73,79,81,80,85,3,3,H/H,Right,"2,141"

Alban Lafont,FC Nantes,FRA 1,goldif,82,GK,20K,84,81,74,86,51,80,1,3,M/M,Right,859

Leon Bailey,Aston Villa,ENG 1,otw,82,RM,19K,93,78,74,84,33,64,4,4,H/M,Left,"1,951"

Miralem Pjanic,FC Barcelona,ESP 1,gold-nr,82,CM,,65,68,83,81,75,67,3,4,M/M,Right,"2,105"

Eduardo Camavinga,Real Madrid,ESP 1,otw,82,CM,,76,69,81,84,80,81,4,3,H/H,Left,"2,160"

Aritz Elustondo,Real Sociedad,ESP 1,goldif,82,CB,27.5K,69,37,64,64,83,81,2,3,L/H,Right,"1,805"

Benoit Costil,Girondins de Bordeaux,FRA 1,goldif,82,GK,24K,82,81,80,84,52,83,1,3,M/M,Right,806

Paul Ebere Onuachu,Genk,BEL 1,goldif,82,ST,20.8K,75,81,67,74,48,87,3,2,H/M,Right,"1,890"

Seko Fofana,RC Lens,FRA 1,goldif,82,CM,25.5K,80,76,77,82,78,83,3,4,H/H,Right,"2,121"

Xherdan Shaqiri,Olympique Lyonnais,FRA 1,otw,82,RW,,79,80,84,84,49,70,5,4,M/L,Left,"2,080"

Ismaila Sarr,Watford,ENG 1,goldif,82,RM,23.8K,95,82,73,84,26,72,4,2,H/M,Right,"1,917"

David Garcia,CA Osasuna,ESP 1,goldif,82,CB,27.5K,60,41,70,68,82,80,2,3,M/M,Right,"1,819"

Florian Wirtz,Bayer 04 Leverkusen,GER 1,goldif,82,CAM,26K,76,76,81,86,55,65,4,4,H/M,Right,"2,006"

Francesco Caputo,Sampdoria,ITA 1,goldif,82,ST,22K,85,84,70,83,34,71,3,4,H/L,Right,"1,967"

Yassine Bounou,Sevilla FC,ESP 1,gold-nr,82,GK,800,82,79,76,84,36,81,1,2,M/M,Left,849

Alex Telles,Manchester United,ENG 1,gold,82,LB,800,83,73,82,78,77,73,3,2,H/M,Left,"2,177"

Anderson Talisca,Al Nassr,SAU 1,gold,82,CF,750,80,83,81,83,52,75,4,4,H/L,Left,"2,109"

Marten de Roon,Bergamo Calcio,ITA 1,gold,82,CDM,800,66,68,72,73,82,83,3,3,M/H,Right,"2,060"

Dominik Livakovic,Dinamo Zagreb,CRO 1,gold,82,GK,750,81,78,74,85,56,80,1,3,M/M,Right,937

Lars Stindl,Borussia Mgladbach,GER 1,gold,82,CAM,750,61,84,81,81,60,73,4,4,M/M,Right,"2,094"

Tomas Soucek,West Ham United,ENG 1,gold,82,CDM,750,64,72,74,74,82,85,3,3,H/H,Right,"2,067"

Youssef En-Nesyri,Sevilla FC,ESP 1,gold-nr,82,ST,700,78,83,58,78,35,76,3,4,H/H,Left,"1,833"

Ever Banega,Al Shabab,SAU 1,gold-nr,82,CDM,1.3K,62,75,84,82,76,71,4,4,H/M,Right,"2,114"

Oliver Baumann,TSG 1899 Hoffenheim,GER 1,gold-nr,82,GK,1K,81,80,79,82,49,79,1,1,M/M,Right,860

Mario Gotze,PSV,NED 1,gold-nr,82,CAM,650,68,75,83,84,55,69,4,4,M/M,Right,"2,033"

Diego Carlos,Sevilla FC,ESP 1,gold,82,CB,900,76,47,63,68,81,83,3,4,M/H,Right,"1,879"

Mario Fernandes,CSKA Moskva,RUS 1,gold,82,RB,750,82,61,74,78,79,79,3,3,H/M,Right,"2,036"

Portu,Real Sociedad,ESP 1,gold,82,RW,750,90,79,78,80,59,79,3,4,H/H,Right,"2,116"

Nicolas Tagliafico,Ajax,NED 1,gold,82,LB,750,80,55,73,76,81,81,3,2,H/H,Left,"2,018"

Raul Albiol,Villarreal CF,ESP 1,gold-nr,82,CB,800,40,41,62,63,86,73,2,3,L/H,Right,"1,697"

Luis Muriel,Bergamo Calcio,ITA 1,gold,82,ST,750,89,83,75,86,27,67,4,4,H/M,Right,"1,952"

Rui Patricio,Roma FC,ITA 1,gold,82,GK,750,82,80,77,83,55,80,1,2,M/M,Left,966

Campana,Levante UD,ESP 1,gold-nr,82,CM,1K,68,74,83,82,71,72,4,3,M/M,Right,"2,092"

Coutinho,FC Barcelona,ESP 1,gold,82,CAM,750,69,79,80,88,52,59,5,4,H/M,Right,"2,038"

Leon Bailey,Aston Villa,ENG 1,gold,82,RM,1.1K,93,78,74,84,33,64,4,4,H/M,Left,"1,951"

Niklas Sule,Bayern München,GER 1,gold,82,CB,750,65,42,59,51,83,81,2,3,M/M,Right,"1,617"

Neto,FC Barcelona,ESP 1,gold,82,GK,800,83,79,78,81,54,79,1,2,M/M,Right,933

Martin Odegaard,Arsenal,ENG 1,gold,82,CAM,750,77,74,83,84,58,62,5,2,H/M,Left,"2,028"

Manuel Locatelli,Piemonte Calcio,ITA 1,gold-nr,82,CDM,800,61,72,79,77,79,79,3,4,M/H,Right,"2,054"

Pau Torres,Villarreal CF,ESP 1,gold,82,CB,1.2K,71,38,67,70,84,80,2,3,M/H,Left,"1,822"

Alphonse Areola,West Ham United,ENG 1,gold,82,GK,1.1K,85,79,76,85,55,80,1,3,M/M,Right,973

Richarlison,Everton,ENG 1,gold,82,ST,750,83,78,73,83,53,80,4,5,H/M,Right,"2,073"

Oscar,Shanghai SIPG,CHN 1,gold,82,CAM,750,78,79,82,82,59,67,4,3,H/M,Right,"2,088"

Palhinha,Sporting CP,POR 1,gold,82,CDM,750,60,65,70,72,85,88,2,4,M/H,Right,"1,987"

Gabriel Paulista,Valencia CF,ESP 1,gold,82,CB,750,67,49,71,65,84,83,2,2,L/H,Right,"1,915"

Ivan Rakitic,Sevilla FC,ESP 1,gold-nr,82,CM,750,57,79,85,78,75,69,3,4,M/M,Right,"2,080"

Suso,Sevilla FC,ESP 1,gold-nr,82,RW,800,76,76,82,85,32,55,4,3,H/L,Left,"1,891"

Florian Neuhaus,Borussia Mgladbach,GER 1,gold-nr,82,CM,700,64,72,79,82,66,67,3,4,M/M,Right,"1,968"

Clement Lenglet,FC Barcelona,ESP 1,gold,82,CB,750,72,45,67,66,83,79,2,4,M/H,Left,"1,853"

Fabian,Napoli,ITA 1,gold,82,CM,750,63,78,79,82,74,71,4,3,M/M,Left,"2,055"

Ruben Neves,Wolverhampton Wanderers,ENG 1,gold,82,CM,750,59,75,85,77,74,73,3,4,L/H,Right,"2,112"

Kevin Trapp,Eintracht Frankfurt,GER 1,gold,82,GK,750,82,78,79,84,48,82,1,4,M/M,Right,835

James Maddison,Leicester City,ENG 1,gold,82,CAM,750,75,78,84,84,54,60,4,4,H/M,Right,"2,022"

Lukasz Fabianski,West Ham United,ENG 1,gold,82,GK,750,82,82,71,82,49,83,1,2,M/M,Right,861

Alexandre Lacazette,Arsenal,ENG 1,gold-nr,82,ST,1.5K,75,82,74,82,44,72,4,4,H/H,Right,"2,011"

Yuri Berchiche,Athletic Club de Bilbao,ESP 1,gold,82,LB,1.2K,83,68,76,76,79,82,3,3,H/M,Left,"2,125"

Wilfried Zaha,Crystal Palace,ENG 1,gold,82,LF,750,89,77,73,87,34,75,5,3,H/M,Right,"1,909"

Alexander Isak,Real Sociedad,ESP 1,gold,82,ST,750,84,82,68,79,29,69,4,5,H/L,Right,"1,870"

Salvatore Sirigu,Genoa,ITA 1,gold,82,GK,750,82,77,76,80,46,84,1,2,M/M,Right,844

Dani Olmo,RB Leipzig,GER 1,gold,82,CAM,750,67,76,81,86,50,60,4,4,M/H,Right,"1,971"

Dayot Upamecano,Bayern München,GER 1,gold,82,CB,1.6K,81,43,62,68,81,81,2,3,H/M,Right,"1,801"

Unai Simon,Athletic Club de Bilbao,ESP 1,gold,82,GK,750,82,77,76,84,47,85,1,3,M/M,Right,879

Miralem Pjanic,Beşiktaş,TUR 1,gold-nr,82,CM,900,65,68,83,81,75,67,3,4,M/M,Right,"2,105"

Jesus Corona,FC Porto,POR 1,gold,82,RM,950,83,67,79,85,74,60,5,5,H/M,Right,"2,117"

Anthony Lopes,Olympique Lyonnais,FRA 1,gold,82,GK,800,84,78,70,86,63,80,1,2,M/M,Left,978

Daley Blind,Ajax,NED 1,gold-nr,82,CB,850,45,64,82,79,83,72,3,3,H/M,Left,"2,042"

Cristian Romero,Tottenham Hotspur,ENG 1,gold,82,CB,1.5K,76,46,52,61,83,84,3,2,L/H,Right,"1,794"

Pierluigi Gollini,Tottenham Hotspur,ENG 1,gold-nr,82,GK,850,82,81,76,82,47,83,1,2,M/M,Right,860

Tanguy Ndombele,Tottenham Hotspur,ENG 1,gold,82,CAM,750,71,72,81,88,69,72,4,3,M/M,Right,"2,072"

Diogo Jota,Liverpool,ENG 1,gold,82,LW,900,84,81,73,85,57,77,4,5,H/H,Right,"2,094"

Joe Gomez,Liverpool,ENG 1,gold,82,CB,1.8K,81,30,66,69,83,78,3,3,M/M,Right,"1,760"

Raphinha,Leeds United,ENG 1,gold,82,RM,1.6K,91,76,76,84,49,72,4,4,H/H,Left,"2,048"

Bernat,Paris Saint-Germain,FRA 1,gold-nr,82,LB,3K,82,65,78,82,76,68,4,3,H/M,Left,"2,068"

Idrissa Gueye,Paris Saint-Germain,FRA 1,gold,82,CDM,900,69,62,71,78,83,77,3,3,M/H,Right,"2,034"

Declan Rice,West Ham United,ENG 1,gold-nr,82,CDM,900,66,53,71,74,81,79,2,3,M/H,Right,"1,914"

Mario Hermoso,Atlético de Madrid,ESP 1,gold,82,CB,800,75,49,72,71,83,80,2,3,M/H,Left,"1,961"

Alessio Romagnoli,Milan,ITA 1,gold-nr,82,CB,1.1K,68,40,56,68,85,78,2,3,M/M,Left,"1,713"

Ante Rebic,Milan,ITA 1,gold,82,LM,750,86,83,75,81,48,80,4,4,H/M,Right,"2,034"

Ferran Torres,Manchester City,ENG 1,gold,82,RW,750,82,79,78,82,35,66,4,4,H/M,Right,"1,936"

Pepe,FC Porto,POR 1,gold,82,CB,950,80,51,60,61,82,87,2,3,M/H,Right,"1,846"

Denzel Dumfries,Inter,ITA 1,gold,82,RB,950,80,61,66,72,78,89,2,3,H/M,Right,"1,962"

Christian Eriksen,Inter,ITA 1,gold,82,CM,750,62,78,88,81,53,52,4,5,M/L,Right,"1,966"

Rafa,SL Benfica,POR 1,gold,82,RM,850,94,73,74,86,50,52,4,3,H/M,Right,"1,946"

Grimaldo,SL Benfica,POR 1,gold,82,LB,950,87,65,81,83,74,71,3,2,H/M,Left,"2,134"

Hakan Calhanoglu,Inter,ITA 1,gold-nr,82,CAM,1.3K,67,75,84,85,59,57,4,4,M/M,Right,"2,027"

Gareth Bale,Real Madrid,ESP 1,gold,82,RM,750,82,84,82,80,55,70,4,3,M/M,Left,"2,125"

Isco,Real Madrid,ESP 1,gold,82,CAM,750,66,75,80,88,59,59,4,3,M/L,Right,"2,009"

Thorgan Hazard,Borussia Dortmund,GER 1,gold,82,LM,800,80,76,80,85,52,66,4,4,H/H,Right,"2,045"

Emre Can,Borussia Dortmund,GER 1,gold,82,CM,1.3K,78,78,78,80,84,87,3,4,M/H,Right,"2,216"

Saul,Chelsea,ENG 1,gold,82,CM,900,71,78,78,79,78,79,3,4,M/M,Left,"2,148"

Rodrigo Javier De Paul,Atlético de Madrid,ESP 1,gold,82,CM,800,78,76,80,82,71,79,4,3,H/M,Right,"2,123"

Eder Militao,Real Madrid,ESP 1,gold,82,CB,1.3K,83,50,69,71,83,82,2,3,M/M,Right,"1,957"

Ben Chilwell,Chelsea,ENG 1,gold,82,LWB,750,76,53,77,78,78,75,3,3,H/H,Left,"2,010"

Alphonso Davies,Bayern München,GER 1,gold,82,LB,2.4K,96,67,71,82,75,75,4,4,H/L,Left,"2,068"

Christian Pulisic,Chelsea,ENG 1,gold,82,LW,750,89,70,73,86,37,59,4,4,M/M,Right,"1,892"

Ibrahima Konate,Liverpool,ENG 1,otw,82,CB,21K,76,38,61,71,84,81,3,2,M/H,Right,"1,772"

Domenico Berardi,Sassuolo,ITA 1,gold-nr,82,RW,1.2K,79,80,81,85,36,69,4,3,M/M,Left,"2,002"

Aaron Mooy,Shanghai SIPG,CHN 1,goldif,81,CM,11K,68,77,82,80,73,80,3,3,M/M,Right,"2,147"

Fraser Forster,Southampton,ENG 1,goldif,81,GK,11.3K,81,78,70,85,36,80,1,5,M/M,Right,845

Enes Unal,Getafe CF,ESP 1,goldif,81,ST,10.8K,75,83,70,81,42,83,3,3,H/M,Right,"2,006"

Stuart Dallas,Leeds United,ENG 1,goldif,81,RWB,11.8K,81,75,76,79,79,81,3,4,H/H,Right,"2,109"

Alexis Mac Allister,Brighton & Hove Albion,ENG 1,goldif,81,LM,11.8K,77,82,83,80,62,68,3,3,M/M,Right,"2,108"

Justin Kluivert,OGC Nice,FRA 1,goldif,81,LM,13K,94,78,73,87,41,64,4,4,H/M,Right,"1,982"

Boulaye Dia,Villarreal CF,ESP 1,goldif,81,ST,12.8K,82,82,60,78,31,80,3,3,H/M,Right,"1,841"

Orkun Kokcu,Feyenoord,NED 1,goldif,81,CM,10.8K,77,76,83,83,61,76,3,5,M/M,Right,"2,098"

Dan Burn,Brighton & Hove Albion,ENG 1,goldif,81,CB,13K,55,38,70,64,81,86,2,3,M/H,Left,"1,744"

Daniel Munoz,Genk,BEL 1,goldif,81,RB,15.3K,84,55,73,77,80,81,2,3,H/H,Right,"1,983"

Silvan Widmer,1. FSV Mainz 05,GER 1,goldif,81,RWB,17.8K,84,67,75,79,78,84,3,4,H/M,Right,"2,119"

Jorge Molina,Granada CF,ESP 1,goldif,81,ST,16.5K,42,85,71,73,45,74,3,4,M/M,Right,"1,814"

Jeremias Conan Ledesma,Cádiz CF,ESP 1,goldif,81,GK,16.8K,83,82,71,84,50,79,1,2,M/M,Right,836

Niklas Dorsch,FC Augsburg,GER 1,goldif,81,CDM,20K,74,71,77,82,78,79,3,3,M/M,Right,"2,122"

Manolo Gabbiadini,Sampdoria,ITA 1,goldif,81,CF,19.3K,74,85,77,82,32,68,3,3,M/L,Left,"1,964"

Evan Ndicka,Eintracht Frankfurt,GER 1,goldif,81,CB,20.3K,79,51,75,79,81,80,2,3,H/M,Left,"1,953"

Michy Batshuayi,Beşiktaş,TUR 1,goldif,81,ST,15.3K,79,82,65,81,38,75,4,5,M/L,Right,"1,926"

Darwin Nunez,SL Benfica,POR 1,goldif,81,LW,14.5K,89,81,75,78,45,89,3,3,H/H,Right,"2,053"

Jude Bellingham,Borussia Dortmund,GER 1,nextgen,81,CM,,77,71,76,82,78,79,3,4,H/H,Right,"2,095"

Eduardo Camavinga,Real Madrid,ESP 1,nextgen,81,CM,,75,68,80,83,78,81,4,3,H/H,Left,"2,132"

Camilo Vargas,Atlas,MEX 1,goldif,81,GK,14.8K,81,77,73,82,48,80,1,3,M/M,Left,924

Martin Terrier,Stade Rennais,FRA 1,goldif,81,LW,18.3K,88,82,79,81,39,70,3,3,M/M,Right,"2,004"

Attila Szalai,Fenerbahçe,TUR 1,goldif,81,CB,19.5K,78,39,62,61,82,89,2,3,M/H,Left,"1,772"

Marko Livaja,Hajduk Split,CRO 1,goldif,81,ST,12.3K,85,81,74,82,38,83,3,5,M/L,Right,"2,008"

Frederic Guilbert,RC Strasbourg,FRA 1,goldif,81,RWB,18.5K,80,53,72,74,80,83,3,3,H/M,Right,"2,001"

Max-Alain Gradel,Sivasspor,TUR 1,goldif,81,LW,18.8K,82,81,77,85,46,67,4,4,H/M,Right,"2,040"

Fabien Centonze,FC Metz,FRA 1,goldif,81,RWB,17.5K,85,56,75,76,75,83,2,2,H/M,Right,"2,039"

Ihlas Bebou,TSG 1899 Hoffenheim,GER 1,goldif,81,RW,17.8K,94,80,73,85,38,68,4,3,H/M,Right,"1,966"

Diego Lopez,RCD Espanyol,ESP 1,goldif,81,GK,25.3K,78,81,76,80,48,83,1,3,M/M,Right,837

Juanmi,Real Betis Balompié,ESP 1,goldif,81,LM,22K,80,82,75,82,36,57,3,3,M/M,Right,"1,953"

Christian Benteke,Crystal Palace,ENG 1,goldif,81,ST,22.5K,61,82,68,74,38,81,2,2,M/L,Right,"1,897"

Iago,FC Augsburg,GER 1,goldif,81,LB,20K,87,61,74,78,78,77,3,2,H/M,Left,"2,025"

Sebastian Blanco,Portland Timbers,USA 1,goldif,81,CAM,14.8K,80,81,78,81,37,76,3,5,H/M,Right,"2,031"

Romain Faivre,Stade Brestois 29,FRA 1,goldif,81,RM,20.5K,80,79,79,84,69,69,4,3,H/M,Left,"2,130"

Emiliano Vecchio,Rosario Central,ARG 1,goldif,81,CAM,19.5K,84,79,82,82,69,79,3,3,M/M,Right,"2,174"

Stephen Eustaquio,Paços de Ferreira,POR 1,goldif,81,CM,16K,71,67,80,78,77,78,2,3,M/M,Right,"2,104"

Dominik Szoboszlai,RB Leipzig,GER 1,goldif,81,CF,19.8K,83,82,83,84,38,69,4,4,M/L,Right,"2,033"

Andre-Franck Zambo Anguissa,Napoli,ITA 1,goldif,81,CM,21.5K,82,71,76,85,79,87,3,3,M/L,Right,"2,165"

Ondrej Duda,1. FC Köln,GER 1,goldif,81,CAM,21K,72,79,78,85,59,70,4,4,M/H,Right,"2,074"

Joakim Maehle,Bergamo Calcio,ITA 1,goldif,81,LB,26.5K,93,60,73,76,72,82,3,3,M/M,Right,"2,017"

Christopher Trimmel,1. FC Union Berlin,GER 1,goldif,81,RB,29.8K,77,69,77,72,80,84,3,3,H/M,Right,"2,075"

Maxwel Cornet,Burnley,ENG 1,goldif,81,LW,25K,91,81,77,80,73,83,3,4,H/H,Left,"2,213"

Mathew Ryan,Real Sociedad,ESP 1,goldif,81,GK,22K,82,80,86,83,57,81,1,4,M/M,Right,973

Harry Wilson,Fulham,ENG 2,goldif,81,RM,15K,83,84,82,81,51,62,3,3,H/M,Left,"2,077"

Mathias Normann,Norwich City,ENG 1,goldif,81,CDM,22.5K,77,70,77,80,77,84,3,3,M/H,Right,"2,102"

Ben White,Arsenal,ENG 1,goldif,81,CB,40K,75,32,66,72,83,82,2,4,M/M,Right,"1,766"

Ciprian Tatarusanu,Milan,ITA 1,goldif,81,GK,20K,82,80,78,82,49,83,1,3,M/M,Right,865

Cristhian Stuani,Girona FC,ESP 2,goldif,81,ST,12K,74,84,75,75,53,87,4,3,M/L,Right,"2,081"

Luuk Brouwers,Go Ahead Eagles,NED 1,erepotm,81,CDM,,78,65,75,75,80,82,2,2,M/M,Right,"2,075"

Galeno,Braga,POR 1,goldif,81,LM,23K,95,75,74,86,35,70,4,3,H/M,Right,"1,956"

Robert Skov,TSG 1899 Hoffenheim,GER 1,goldif,81,LWB,20.5K,85,80,82,81,72,78,3,3,M/M,Left,"2,216"

Aleksandar Mitrovic,Fulham,ENG 2,goldif,81,ST,15.5K,72,82,62,78,30,90,3,4,M/M,Right,"1,887"

Junya Ito,Genk,BEL 1,goldif,81,RW,15K,93,77,78,82,60,75,4,4,H/M,Right,"2,108"

Lucas Zelarayan,Columbus Crew SC,USA 1,goldif,81,CAM,14.8K,78,77,82,83,47,74,3,3,M/L,Right,"2,087"

Alfred Gomis,Stade Rennais,FRA 1,goldif,81,GK,17K,81,82,75,82,47,81,1,3,M/M,Right,879

Youcef Atal,OGC Nice,FRA 1,goldif,81,RB,16K,94,73,77,84,76,76,4,5,H/M,Right,"2,173"

Oliver Torres,Sevilla FC,ESP 1,goldif,81,CM,24.5K,68,71,82,86,68,60,3,4,H/M,Right,"2,044"

Joshua King,Watford,ENG 1,goldif,81,ST,22K,85,82,75,82,44,76,4,3,M/L,Right,"2,028"

Joselu,Deportivo Alavés,ESP 1,goldif,81,ST,20K,61,82,73,76,34,74,3,3,M/M,Right,"1,874"

Matteo Guendouzi,Olympique de Marseille,FRA 1,goldif,81,CM,23K,78,68,80,79,77,80,3,3,M/H,Right,"2,129"

Julian Alvarez,River Plate,CON1,goldif,81,ST,17.3K,90,80,79,81,52,69,4,3,H/M,Right,"2,097"

Rodolfo Cota,León,MEX 1,goldif,81,GK,15K,81,76,73,84,63,84,1,2,M/M,Right,920

Pedro Santos,Columbus Crew SC,USA 1,goldif,81,RM,18.3K,82,78,79,81,70,71,3,4,M/H,Left,"2,148"

Ansu Fati,FC Barcelona,ESP 1,goldif,81,LW,16K,91,80,75,84,34,60,4,4,H/M,Right,"1,939"

Andre Blake,Philadelphia Union,USA 1,goldif,81,GK,16K,83,74,74,85,50,84,1,2,M/M,Right,829

Enner Valencia,Fenerbahçe,TUR 1,goldif,81,LW,13.3K,92,81,74,79,52,81,4,3,H/M,Right,"2,114"

Mohamed Elyounoussi,Southampton,ENG 1,goldif,81,CM,16K,81,80,78,83,60,75,4,4,M/M,Right,"2,118"

Wu Lei,RCD Espanyol,ESP 1,goldif,81,RM,27.3K,89,77,76,81,46,75,3,3,H/M,Right,"2,060"

Garry Rodrigues,Olympiacos,GRE 1,goldif,81,LM,11K,89,78,77,82,49,74,3,3,M/M,Right,"2,078"

Roman Yaremchuk,SL Benfica,POR 1,goldif,81,ST,19K,83,81,75,76,49,79,3,3,H/M,Right,"1,998"

Josko Gvardiol,RB Leipzig,GER 1,goldif,81,CB,20K,85,61,76,78,80,85,3,4,H/H,Left,"2,116"

Danny Ings,Aston Villa,ENG 1,otw,81,ST,12.5K,79,84,70,80,45,70,3,4,H/H,Right,"1,998"

Cucurella,Brighton & Hove Albion,ENG 1,otw,81,LM,12.5K,79,67,78,80,73,74,3,3,H/M,Left,"2,057"

Amir Rrahmani,Napoli,ITA 1,goldif,81,CB,23.5K,67,55,60,64,83,84,2,4,H/M,Right,"1,813"

Wendell,FC Porto,POR 1,goldif,81,LB,27.8K,84,55,77,84,76,77,4,2,H/M,Left,"2,091"

Breel Embolo,Borussia Mgladbach,GER 1,goldif,81,ST,23.5K,87,78,77,79,55,86,3,4,M/H,Right,"2,073"

Christian Fassnacht,BSC Young Boys,CHE 1,goldif,81,RM,19.3K,86,77,76,80,43,78,3,3,H/M,Right,"2,002"

Philipp Lienhart,SC Freiburg,GER 1,goldif,81,CB,25K,69,33,60,64,83,80,2,3,M/M,Right,"1,726"

Sandro Tonali,Milan,ITA 1,goldif,81,CDM,20K,82,70,82,80,78,80,3,4,M/H,Right,"2,165"

Arnaut Danjuma,Villarreal CF,ESP 1,goldif,81,LM,19.5K,86,79,78,83,47,73,4,4,H/M,Right,"1,989"

Justin Kluivert,OGC Nice,FRA 1,otw,81,LM,,94,78,73,87,41,64,4,4,H/M,Right,"1,982"

Sergino Dest,FC Barcelona,ESP 1,goldif,81,LB,19.3K,90,67,78,86,73,72,4,4,H/L,Right,"2,077"

Emile Smith Rowe,Arsenal,ENG 1,goldif,81,LM,18.3K,84,71,78,83,37,68,4,4,H/H,Right,"1,885"

Arthur Cabral,FC Basel,CHE 1,goldif,81,ST,18.3K,78,82,71,79,36,83,3,4,H/M,Right,"1,946"

Kortney Hause,Aston Villa,ENG 1,goldif,81,CB,19.5K,67,51,67,65,81,85,2,2,L/M,Left,"1,832"

Stefano Okaka,Istanbul Başakşehir FK,TUR 1,goldif,81,ST,18K,71,81,68,77,36,86,2,3,H/H,Right,"1,880"

Marco Davide Faraoni,Hellas Verona,ITA 1,goldif,81,RWB,18.5K,78,77,78,78,74,80,3,3,H/H,Right,"2,167"

Habib Diallo,RC Strasbourg,FRA 1,goldif,81,ST,17.3K,79,82,62,78,26,78,3,3,M/L,Right,"1,867"

Pedro Rebocho,Lech Poznań,POL 1,goldif,81,LB,20K,81,66,77,81,75,77,3,2,H/M,Left,"2,129"

Ludovic Blas,FC Nantes,FRA 1,goldif,81,CAM,21.8K,78,78,80,85,63,70,4,2,M/M,Left,"2,106"

Timo Horn,1. FC Köln,GER 1,goldif,81,GK,26K,83,82,65,83,52,77,1,2,M/M,Left,861

Jens Toornstra,Feyenoord,NED 1,goldif,81,CM,17K,60,82,81,80,73,80,3,2,H/H,Right,"2,132"

Willi Orban,RB Leipzig,GER 1,gold-nr,81,CB,750,49,36,52,55,84,80,2,3,M/M,Right,"1,615"

Piotr Zielinski,Napoli,ITA 1,gold,81,CM,700,81,75,81,85,70,61,4,5,M/M,Right,"2,065"

