Player,Team,League,Version,OVR,POS,BIN,PAC,SHO,PAS,DRI,DEF,PHY,S/M,W/F,W/Rs,Foot,Stats 
Sivera,Deportivo Alavés,ESP 1,silver,73,GK,7.5K,73,71,68,74,57,75,1,3,M/M,Right,912
Marvin Friedrich,1. FC Union Berlin,GER 1,silver,73,CB,2.3K,61,36,56,50,74,70,2,3,M/M,Right,"1,538"
Ezequiel Unsain,Defensa y Justicia,ARG 1,silver,73,GK,6.5K,79,65,77,79,54,66,1,3,M/M,Right,972
Nelson Monte,Rio Ave,POR 1,silver,73,CB,2K,57,35,57,58,74,73,2,2,M/M,Right,"1,604"
Isaac Success,Watford,ENG 1,silver,73,ST,2.8K,75,69,65,75,35,66,3,3,M/M,Right,"1,721"
Alexis Blin,Amiens SC,FRA 1,silver,73,CDM,500,53,55,67,65,72,72,3,3,L/H,Right,"1,786"
Ozan Tufan,Fenerbahçe,TUR 1,silver,73,CDM,2.5K,71,64,69,73,71,74,3,3,M/M,Right,"1,939"
Edoardo Goldaniga,Genoa,ITA 1,silver,73,CB,950,48,33,41,52,73,70,2,3,M/H,Right,"1,403"
Jonas Omlin,FC Basel,CHE 1,silver,73,GK,1K,75,71,69,76,50,70,1,3,M/M,Right,945
Fede,Real Valladolid,ESP 1,silver-nr,73,CDM,700,64,55,66,65,70,76,2,3,L/H,Right,"1,834"
Dorukhan Tokoz,Besiktas,TUR 1,silver,73,CDM,4.5K,71,65,66,70,72,72,3,3,H/M,Right,"1,876"
Rolando Garcia Guerreno,Lanús,ARG 1,silver-nr,73,CB,10K,52,41,47,49,72,78,2,3,L/M,Right,"1,540"
Domingo Blanco,Independiente,ARG 1,silver,73,CM,2.3K,81,63,71,81,58,66,4,3,M/M,Right,"1,909"
Ivaylo Chochev,Pescara,ITA 2,silver-nr,73,CM,900,68,69,70,71,69,76,3,4,H/H,Left,"1,915"
Derrick Luckassen,Anderlecht,BEL 1,silver,73,CB,2K,76,58,65,67,70,78,2,3,H/M,Right,"1,880"
Robin Zentner,1. FSV Mainz 05,GER 1,silver,73,GK,1K,73,71,64,77,65,71,1,3,M/M,Right,853
Jonjoe Kenny,FC Schalke 04,GER 1,silver,73,RB,3.5K,72,41,63,68,73,68,3,3,H/M,Right,"1,779"
Bingourou Kamara,RC Strasbourg,FRA 1,silver,73,GK,500,76,69,65,75,39,71,1,3,M/M,Right,758
Walter Bou,Unión Santa Fe,ARG 1,silver,73,ST,1K,73,75,62,72,20,61,3,2,M/L,Right,"1,665"
Ryan Kent,Liverpool,ENG 1,silver-nr,73,LW,,88,60,66,77,23,54,4,5,H/M,Right,"1,600"
Iago,Moreirense,POR 1,silver,73,CB,3.4K,46,30,47,53,73,77,2,2,L/H,Right,"1,491"
Peter Olayinka,Slavia Praha,CSK 1,silver,73,LM,450,81,68,68,72,40,75,3,3,H/H,Right,"1,831"
Steve Mounie,Huddersfield Town,ENG 2,silver-nr,73,ST,1.8K,65,71,61,65,42,78,3,3,M/M,Right,"1,752"
Benjamin Kuscevic,Universidad Católica,CHL 1,silver-nr,73,CB,10K,70,41,54,60,72,77,2,3,M/M,Right,"1,674"
Jhon Duque,Millonarios,COL 1,silver,73,CDM,950,64,42,59,65,71,74,2,3,M/H,Right,"1,689"
Nicolas Fernandez,Defensa y Justicia,ARG 1,silver,73,ST,10K,86,71,62,76,31,55,3,4,H/L,Right,"1,768"
Sinan Gumus,Genoa,ITA 1,silver,73,RM,8.3K,86,74,66,75,34,64,3,3,M/L,Left,"1,801"
Andres Ibarguen,América,MEX 1,silver,73,LM,1.9K,90,63,66,77,36,45,3,3,H/M,Right,"1,712"
Arana,Atalanta,ITA 1,silver,73,LM,7.8K,75,61,70,74,68,66,3,2,M/M,Left,"1,871"
Sidcley,Dynamo Kyiv,UKR 1,silver,73,LM,7K,80,65,69,77,73,70,4,3,M/M,Left,"1,957"
Hernani,Parma,ITA 1,silver,73,CDM,10K,67,69,68,71,72,70,3,2,M/M,Right,"1,921"
Serginho,Kashima Antlers,JPN 1,silver,73,ST,900,66,74,72,71,43,72,3,4,H/M,Left,"1,830"
Lekue,Athletic Club de Bilbao,ESP 1,silver,73,RB,10K,85,64,69,73,69,71,3,3,H/M,Right,"1,910"
Ilzat Akhmetov,CSKA Moskva,RUS 1,silver,73,CM,400,75,58,72,76,60,51,3,4,M/M,Right,"1,768"
Gyrano Kerk,FC Utrecht,NED 1,silver,73,RW,3.4K,93,69,61,74,32,70,3,2,M/M,Right,"1,754"
Arturo Mina,Yeni Malatyaspor,TUR 1,silver,73,CB,8.9K,48,36,53,51,72,77,2,3,H/M,Right,"1,508"
Murilo,Braga,POR 1,silver,73,LW,10K,90,70,64,77,25,63,3,3,M/M,Left,"1,752"
Kelechi Iheanacho,Leicester City,ENG 1,silver,73,ST,1.4K,78,71,64,74,28,67,4,3,M/M,Left,"1,763"
Cesinha,Daegu FC,KOR 1,silver,73,LW,600,73,73,70,73,30,62,4,4,H/M,Right,"1,754"
Pere Milla,Elche CF,ESP 2,silver,73,CAM,600,76,73,69,74,36,62,3,2,M/L,Left,"1,749"
Roger Guedes,Shandong Luneng Taishan,CHN 1,silver,73,ST,1.7K,82,69,70,77,31,64,4,3,M/L,Right,"1,749"
Xavier,Tondela,POR 1,silver-nr,73,LW,3.8K,81,68,70,73,34,60,3,3,H/M,Left,"1,747"
Uche Agbo,Braga,POR 1,silver,73,CDM,4.4K,60,57,62,66,71,78,3,3,M/H,Right,"1,789"
Ugurcan Cakir,Trabzonspor,TUR 1,silver,73,GK,1.8K,74,69,70,76,52,72,1,3,M/M,Right,914
Andre Horta,Braga,POR 1,silver,73,CM,10K,71,64,73,77,63,66,3,3,H/M,Right,"1,908"
Andrei Girotto,FC Nantes,FRA 1,silver,73,CDM,8K,59,66,66,67,74,71,2,3,L/H,Right,"1,843"
Baldomero Perlaza,Atlético Nacional,COL 1,silver,73,CDM,850,51,49,60,65,73,84,3,2,M/H,Right,"1,718"
Joaquin Laso,Atletico de San Luis,MEX 1,silver,73,CB,9.6K,62,41,51,55,69,83,2,3,M/H,Right,"1,607"
Tim Parker,New York Red Bulls,USA 1,silver,73,CB,1K,72,31,48,54,70,82,2,3,M/H,Right,"1,546"
Cristian Roldan,Seattle Sounders,USA 1,silver-nr,73,CDM,5K,69,64,68,71,70,76,3,3,H/H,Right,"1,929"
Franco Soldano,Buenos Aires,ARG 1,silver,73,ST,3K,69,72,51,70,39,70,3,3,H/H,Right,"1,685"
Andre-Franck Zambo Anguissa,Villarreal CF,ESP 1,silver,73,CDM,8K,69,53,67,69,70,81,3,2,L/M,Right,"1,854"
Lukas Haraslin,Lechia Gdańsk,POL 1,silver-nr,73,LM,4K,84,62,67,74,40,66,4,3,H/M,Left,"1,787"
Bart Ramselaar,FC Utrecht,NED 1,silver,73,CAM,1.5K,82,64,69,74,57,68,3,3,H/M,Right,"1,862"
Maximilian Mittelstadt,Hertha BSC,GER 1,silver,73,LM,2.6K,77,57,69,75,68,62,3,3,M/M,Left,"1,836"
Anastasios Donis,VfB Stuttgart,GER 2,silver,73,ST,,87,71,57,78,25,65,3,4,H/L,Right,"1,694"
Saul Salcedo,Huracán,ARG 1,silver,73,CB,1.2K,67,35,43,54,74,75,2,3,M/H,Right,"1,559"
Wuilker Farinez,Millonarios,COL 1,silver,73,GK,2.3K,73,70,69,77,51,74,1,3,M/M,Right,947
Alexis De Sart,Antwerp,BEL 1,silver-nr,73,CM,900,59,65,72,70,70,68,3,3,M/H,Right,"1,916"
Raillo,RCD Mallorca,ESP 1,silver,73,CB,15K,58,36,53,54,73,77,2,3,L/H,Right,"1,598"
Thomas Ouwejan,AZ,NED 1,silver-nr,73,LB,9.9K,73,52,69,71,71,73,3,3,M/M,Left,"1,853"
Jhonder Cadiz,SL Benfica,POR 1,silver-nr,73,ST,,67,69,52,70,31,75,3,2,H/M,Right,"1,618"
Miguel Vieira,Medipol Başakşehir,TUR 1,silver-nr,73,CB,4.2K,54,30,42,48,72,76,2,3,M/M,Right,"1,438"
Ante Coric,UD Almería,ESP 2,silver,73,CAM,700,69,66,71,75,40,52,3,4,M/L,Right,"1,740"
Gokhan Akkan,Çaykur Rizespor,TUR 1,silver,73,GK,350,71,68,68,82,48,70,1,2,M/M,Right,820
Cesar Montes,Monterrey,MEX 1,silver-nr,73,CB,8.4K,62,38,59,60,72,77,2,3,M/H,Right,"1,696"
Faitout Maouassa,Stade Rennais,FRA 1,silver,73,LB,4.7K,83,63,67,73,69,69,3,2,H/M,Left,"1,900"
Lyanco,Torino,ITA 1,silver-nr,73,CB,3.3K,59,36,52,59,72,70,2,3,M/H,Right,"1,531"
Gautier Larsonneur,Stade Brestois 29,FRA 1,silver,73,GK,2.5K,74,75,66,76,50,68,1,2,M/M,Right,849
Unai Simon,Athletic Club de Bilbao,ESP 1,silver,73,GK,4.9K,72,73,64,72,47,74,1,2,M/M,Right,818
Michael Santos,FC København,DEN 1,silver,73,ST,3.4K,74,72,63,71,36,72,3,4,H/M,Right,"1,804"
Brian Lozano,Santos Laguna,MEX 1,silver-nr,73,LM,5K,84,67,69,76,38,57,3,5,H/M,Right,"1,791"
Josip Misic,PAOK FC,GRE 1,silver,73,CM,3.2K,66,67,70,74,63,70,2,3,M/H,Right,"1,891"
Carlos de Pena,Dynamo Kyiv,UKR 1,silver-nr,73,LM,700,75,60,70,71,27,51,3,3,M/M,Left,"1,599"
Casimir Ninga,Angers SCO,FRA 1,silver,73,LM,4.5K,91,73,65,70,27,78,3,3,H/M,Right,"1,802"
Nejc Skubic,Atiker Konyaspor,TUR 1,silver,73,RB,3.7K,71,53,65,71,72,73,3,3,M/M,Right,"1,860"
Jamiro Monteiro,Philadelphia Union,USA 1,silver,73,CM,2.9K,76,61,70,75,63,74,3,4,H/H,Right,"1,890"
Mathieu Cafaro,Stade de Reims,FRA 1,silver,73,LM,1.9K,75,68,72,76,44,61,4,3,M/M,Right,"1,842"
Jeremy Gelin,Stade Rennais,FRA 1,silver-nr,73,CB,1.4K,62,36,59,63,72,72,2,3,M/M,Right,"1,632"
Romain Perraud,Stade Brestois 29,FRA 1,silver,73,LB,10K,74,66,68,72,72,69,3,2,H/M,Left,"1,957"
Brahim,Real Madrid,ESP 1,silver,73,LW,1.4K,78,66,63,80,29,43,4,5,H/M,Left,"1,623"
Axel Tuanzebe,Manchester United,ENG 1,silver,73,CB,1.1K,78,35,61,70,71,74,3,3,M/M,Right,"1,735"
Alexis Soto,Racing Club de Avellaneda,ARG 1,silver-nr,73,LB,4.4K,75,36,63,71,69,72,3,2,M/M,Left,"1,724"
Marc Navarro,CD Leganés,ESP 1,silver,73,RB,9.2K,63,56,69,65,74,64,2,2,H/M,Right,"1,747"
Maximilian Wober,Red Bull Salzburg,AUT 1,silver-nr,73,CB,500,71,37,61,64,72,76,2,3,M/H,Left,"1,691"
Alvaro Tejero,SD Eibar,ESP 1,silver,73,RB,1.9K,80,60,70,76,66,65,3,4,H/L,Right,"1,935"
Carlos Peralta,La Equidad,COL 1,silver,73,ST,650,74,72,51,70,29,60,3,3,H/M,Right,"1,561"
Timothy Fosu-Mensah,Manchester United,ENG 1,silver-nr,73,RB,9.5K,83,60,64,66,71,76,3,4,M/M,Right,"1,849"
Ryota Morioka,Charleroi,BEL 1,silver,73,CAM,350,58,71,75,71,37,60,3,3,M/M,Right,"1,752"
Masaaki Higashiguchi,Gamba Osaka,JPN 1,silver,73,GK,350,71,73,75,70,33,72,1,3,M/M,Right,727
Carlos Ponck,Medipol Başakşehir,TUR 1,silver-nr,73,CB,2.1K,63,45,51,60,72,79,2,2,M/H,Right,"1,682"
Cristian Romero,Genoa,ITA 1,silver-nr,73,CB,800,63,35,43,48,72,77,2,2,L/H,Right,"1,542"
Tsukasa Shiotani,Al Ain FC,UAE 1,silver,73,LB,350,69,58,61,57,72,81,3,4,H/H,Right,"1,815"
Diego Zabala,Rosario Central,ARG 1,silver,73,RM,4.9K,71,74,72,72,41,65,3,3,H/M,Right,"1,793"
Gabriel,LOSC Lille,FRA 1,silver-nr,73,CB,5K,58,35,51,53,72,75,2,2,L/H,Left,"1,519"
Daichi Kamada,Eintracht Frankfurt,GER 1,silver,73,CF,650,75,69,71,77,36,60,3,4,H/M,Right,"1,758"
Takehiro Tomiyasu,Bologna,ITA 1,silver-nr,73,CB,1.1K,66,28,57,63,72,76,2,5,M/H,Right,"1,576"
Mathias Pereira Lage,Angers SCO,FRA 1,silver,73,LM,1.5K,80,69,72,72,43,66,4,3,H/M,Right,"1,837"
Rick van Drongelen,Hamburger SV,GER 2,silver,73,CB,600,66,25,58,52,73,74,2,4,M/M,Left,"1,568"
Chris Mepham,Bournemouth,ENG 1,silver-nr,73,CB,5.4K,62,33,53,61,72,73,2,3,H/H,Right,"1,575"
Milad Mohammadi,AA Gent,BEL 1,silver,73,LB,3K,88,54,63,73,69,69,3,4,H/M,Left,"1,854"
Vukasin Jovanovic,Girondins de Bordeaux,FRA 1,silver,73,CB,950,46,46,59,63,73,74,2,2,H/M,Right,"1,652"
Shogo Taniguchi,Kawasaki Frontale,JPN 1,silver,73,CB,350,66,45,58,59,73,74,2,3,L/H,Right,"1,700"
Samuel Grandsir,Stade Brestois 29,FRA 1,silver,73,RM,8.9K,87,61,70,76,44,63,3,4,M/M,Right,"1,833"
David Okereke,Club Brugge,BEL 1,silver,73,ST,750,91,68,55,75,26,64,4,4,H/M,Right,"1,638"
Sofiane Alakouch,Nîmes Olympique,FRA 1,silver-nr,73,RB,900,75,35,67,69,71,60,3,3,H/M,Right,"1,688"
Johannes Eggestein,Werder Bremen,GER 1,silver-nr,73,RW,550,72,71,67,76,40,57,3,4,M/M,Right,"1,742"
Aurelio Buta,Antwerp,BEL 1,silver,73,RB,2.4K,89,59,65,75,66,66,4,4,H/M,Right,"1,887"
Bakaye Dibassy,Amiens SC,FRA 1,silver,73,LB,8.7K,74,54,61,70,72,76,2,3,H/H,Left,"1,798"
Maycon,Shakhtar Donetsk,UKR 1,silver,73,CM,3K,70,67,71,69,65,68,3,2,H/M,Left,"1,900"
Valentin Rosier,Sporting CP,POR 1,silver,73,RB,1K,76,47,63,72,71,70,3,2,H/M,Right,"1,788"
Ivan Oblyakov,CSKA Moskva,RUS 1,silver,73,CM,700,73,65,75,75,55,64,3,2,H/M,Left,"1,877"
Efecan Karaca,Alanyaspor,TUR 1,silver,73,RM,3.4K,83,63,65,77,44,50,3,4,H/M,Right,"1,715"
Dimitri Lienard,RC Strasbourg,FRA 1,silver,73,CM,10K,63,72,77,71,56,67,3,3,M/M,Left,"1,906"
Marcelino Moreno,Lanús,ARG 1,silver,73,RW,7.9K,90,63,68,80,54,57,4,3,H/M,Right,"1,872"
Alvaro Jimenez,Albacete Balompié,ESP 2,silver-nr,73,RM,700,79,69,68,73,46,64,3,3,H/M,Right,"1,792"
Pedro Aquino,León,MEX 1,silver-nr,73,CDM,3.3K,77,59,67,68,70,73,2,3,M/H,Right,"1,833"
Marcos Senesi,Feyenoord,NED 1,silver,73,CB,850,61,35,48,57,74,71,2,3,L/H,Left,"1,505"
Robin Koch,SC Freiburg,GER 1,silver,73,CDM,600,60,38,61,61,72,73,2,3,M/M,Right,"1,604"
Robert Glatzel,Cardiff City,ENG 2,silver,73,ST,2.4K,74,72,46,64,26,70,2,4,M/M,Right,"1,547"
Manolis Siopis,Alanyaspor,TUR 1,silver,73,CDM,500,75,54,64,64,73,73,2,3,M/H,Right,"1,811"
Kim Min Jae,Beijing Sinobo Guoan,CHN 1,silver,73,CB,1.9K,72,31,48,47,72,80,2,2,L/H,Right,"1,534"
Matej Mitrovic,Club Brugge,BEL 1,silver,73,CB,1.6K,47,50,57,59,73,76,2,2,L/H,Right,"1,634"
Yuri Ribeiro,Nottingham Forest,ENG 2,silver,73,LB,350,75,51,70,73,71,67,3,3,M/M,Left,"1,869"
Julian Gressel,Atlanta United FC,USA 1,silver,73,RM,3.8K,73,65,71,70,61,76,3,4,H/M,Right,"1,883"
Mady Camara,Olympiacos CFP,GRE 1,silver,73,CDM,450,67,60,63,69,72,83,3,3,H/H,Right,"1,836"
Oussama Haddadi,Al Ettifaq,SAU 1,silver,73,LB,350,74,38,62,64,72,72,3,3,H/M,Left,"1,696"
Mama Balde,Dijon FCO,FRA 1,silver,73,RW,10K,89,70,64,72,65,76,3,3,H/H,Right,"1,960"
Marco Richter,FC Augsburg,GER 1,silver-nr,73,RM,900,82,69,62,76,27,60,3,4,M/M,Right,"1,688"
Reece James,Chelsea,ENG 1,silver-nr,73,RB,9.9K,79,57,69,71,70,75,3,3,M/M,Right,"1,892"
Marcao,Hebei China Fortune,CHN 1,silver,73,ST,1.7K,67,71,45,65,28,80,3,3,M/L,Right,"1,571"
Jefferson Savarino,Real Salt Lake,USA 1,silver-nr,73,RW,10K,82,70,66,77,37,63,4,4,H/M,Right,"1,770"
Kingsley Schindler,1. FC Köln,GER 1,silver,73,RM,1.7K,82,69,65,70,45,66,3,4,M/L,Right,"1,769"
Wilson Manafa,FC Porto,POR 1,silver,73,LB,800,82,60,66,76,65,66,4,4,H/M,Right,"1,884"
Umut Bozok,FC Lorient,FRA 2,silver,73,ST,400,81,70,60,75,24,67,3,3,H/M,Right,"1,689"
Erling Braut Haaland,Red Bull Salzburg,AUT 1,silver,73,ST,5.7K,81,70,55,72,35,80,3,3,H/M,Left,"1,746"
Oscar,CD Leganés,ESP 1,silver,73,CAM,5.1K,65,67,72,76,49,59,3,3,H/M,Right,"1,785"
Leo Jaba,PAOK FC,GRE 1,silver-nr,73,RM,750,85,68,63,74,26,63,3,3,H/L,Right,"1,666"
Srdjan Plavsic,Sparta Praha,CSK 1,silver-nr,73,LM,650,85,67,67,76,28,59,3,3,H/M,Left,"1,776"
Nicolas De la Cruz,Nunez,ARG 1,silver,73,CAM,2.3K,78,65,70,75,46,49,3,3,M/L,Right,"1,822"
Roman Yaremchuk,AA Gent,BEL 1,silver-nr,73,ST,7K,74,70,66,69,45,72,3,3,H/M,Right,"1,778"
Dani Raba,SD Huesca,ESP 2,silver-nr,73,RM,6.8K,68,70,70,74,38,59,3,3,M/M,Left,"1,678"
Pau Torres,Villarreal CF,ESP 1,silver,73,CB,6.7K,64,34,58,58,74,70,3,3,M/M,Left,"1,593"
Predrag Rajkovic,Stade de Reims,FRA 1,silver-nr,73,GK,9.5K,74,72,71,74,25,72,1,2,M/M,Right,642
Yassine Meriah,Olympiacos CFP,GRE 1,silver,73,CB,2.5K,74,49,52,60,74,69,2,2,L/M,Right,"1,684"
Diego Rossi,Los Angeles FC,USA 1,silver-nr,73,LW,200,82,71,65,75,28,55,4,4,H/L,Right,"1,699"
Stephen Eustaquio,Cruz Azul,MEX 1,silver-nr,73,CDM,10K,61,60,72,71,68,70,2,3,M/M,Right,"1,878"
Pedro Porro,Real Valladolid,ESP 1,silver,73,RWB,850,76,61,66,76,69,62,3,3,H/M,Right,"1,847"
Nemanja Radonjic,Olympique de Marseille,FRA 1,silver-nr,73,LW,600,80,67,70,74,29,56,3,4,M/M,Right,"1,693"
Uros Racic,Famalicao,POR 1,silver,73,CDM,1.6K,59,66,68,68,72,71,3,4,M/M,Right,"1,855"
Lovro Majer,Dinamo Zagreb,CRO 1,silver,73,CAM,1.4K,70,68,77,76,35,58,4,3,M/M,Left,"1,800"
Mykola Shaparenko,Dynamo Kyiv,UKR 1,silver-nr,73,CM,1.1K,65,63,68,72,65,56,3,3,H/H,Right,"1,753"
Ondrej Kolar,Slavia Praha,CSK 1,silver,73,GK,350,72,70,78,76,53,72,1,3,M/M,Right,765
Puado,RCD Espanyol,ESP 1,silver,73,ST,700,80,69,59,74,29,60,3,3,M/L,Right,"1,652"
Toma Basic,Girondins de Bordeaux,FRA 1,silver,73,CM,1.6K,54,60,74,71,67,65,3,3,H/M,Left,"1,843"
Luca Sangalli,Real Sociedad,ESP 1,silver,73,CM,600,72,64,70,74,61,63,3,3,H/M,Right,"1,803"
Giorgios Masouras,Olympiacos CFP,GRE 1,silver,73,RM,2.7K,76,73,69,73,38,66,3,4,H/M,Right,"1,799"
Robert Rojas,Nunez,ARG 1,silver,73,CB,1.2K,73,54,63,67,71,75,3,3,M/M,Right,"1,813"
Matej Hanousek,Sparta Praha,CSK 1,silver,73,LB,500,87,44,64,69,67,72,2,2,H/H,Left,"1,763"
Kodjo Fo-Doh Laba,Al Ain FC,UAE 1,silver-nr,73,ST,700,79,69,60,67,25,74,2,4,H/L,Right,"1,719"
Maarten Stekelenburg,Everton,ENG 1,silver,73,GK,3.5K,71,72,76,73,32,73,1,4,M/M,Right,804
Dario Dainelli,Livorno,ITA 2,silver,73,CB,,32,33,43,52,76,65,2,3,L/M,Right,"1,364"
Nicolas Penneteau,Charleroi,BEL 1,silver,73,GK,500,70,76,66,66,26,81,1,3,M/M,Left,751
Cifuentes,Cádiz CF,ESP 2,silver,73,GK,350,67,74,65,71,47,82,1,3,M/M,Right,831
Mario Alvarez,Atletico de San Luis,MEX 1,silver-nr,73,CB,10K,61,42,54,52,72,72,2,3,L/M,Left,"1,630"
Mauricio Pinilla,Coquimbo Unido,CHL 1,silver,73,ST,3.9K,55,74,55,64,32,76,3,3,H/M,Right,"1,683"
Ruben Castro,UD Las Palmas,ESP 2,silver,73,ST,3K,70,74,63,76,30,59,3,3,M/L,Right,"1,769"
Alexander Walke,Red Bull Salzburg,AUT 1,silver,73,GK,350,73,71,75,76,36,69,1,3,M/M,Right,840
Arouna Kone,Sivasspor,TUR 1,silver,73,ST,3K,65,74,62,71,37,69,3,4,M/M,Right,"1,728"
Selcuk Inan,Galatasaray,TUR 1,silver,73,CM,2K,48,71,77,71,64,62,3,3,M/M,Right,"1,901"
Luis Jimenez,Al Ittihad,SAU 1,silver,73,CAM,8K,64,63,77,73,42,63,3,4,H/M,Right,"1,801"
Goran Pandev,Genoa,ITA 1,silver,73,ST,1.2K,49,73,71,78,37,53,3,3,M/L,Left,"1,764"
Bruno Alves,Parma,ITA 1,silver,73,CB,9.5K,37,67,64,64,71,81,3,3,M/M,Right,"1,872"
Angulo,Górnik Zabrze,POL 1,silver-nr,73,ST,6.4K,79,70,61,71,37,68,3,3,M/M,Left,"1,768"
Christian Fuchs,Leicester City,ENG 1,silver,73,LB,6K,49,67,76,70,75,68,3,2,M/M,Left,"1,969"
Federico Marchetti,Genoa,ITA 1,silver,73,GK,3.6K,72,72,65,73,53,73,1,3,M/M,Left,885
Gonzalo Rodriguez,San Lorenzo de Almagro,ARG 1,silver-nr,73,CB,8.4K,54,48,58,62,72,75,2,3,M/H,Right,"1,689"
Javier Gandolfi,Talleres de Córdoba,ARG 1,silver-nr,73,CB,400,42,43,62,54,72,72,2,2,L/M,Right,"1,654"
Roman Martinez,Aldosivi,ARG 1,silver,73,CM,1.8K,53,70,72,70,58,69,3,3,M/M,Right,"1,824"
Mikel Rico,SD Huesca,ESP 2,silver,73,CM,550,40,65,68,67,72,77,2,4,H/M,Right,"1,867"
Javi Fuego,Real Sporting de Gijón,ESP 2,silver,73,CDM,400,38,60,67,66,73,72,2,3,M/H,Right,"1,806"
Vesga,Athletic Club de Bilbao,ESP 1,silver,73,CM,4K,39,61,68,65,70,75,3,3,M/H,Left,"1,724"
Artem Rebrov,Spartak Moskva,RUS 1,silver,73,GK,400,74,68,65,73,39,78,1,3,M/M,Right,791
Paul Verhaegh,FC Twente,NED 1,silver,73,RB,600,66,51,68,71,75,69,2,3,M/M,Right,"1,849"
Vincent Demarconnay,Paris FC,FRA 2,silver,73,GK,500,72,71,75,72,42,75,1,3,M/M,Right,827
Juan Insaurralde,CD Vinazur,CHL 1,silver-nr,73,CB,1.6K,36,39,56,47,72,76,2,2,L/M,Left,"1,505"
Jean-Louis Leca,Racing Club de Lens,FRA 2,silver-nr,73,GK,550,72,69,69,75,46,73,1,3,M/M,Right,801
Lee Chung Yong,VfL Bochum,GER 2,silver,73,CAM,500,68,64,71,75,53,61,3,3,H/H,Right,"1,829"
Aiden McGeady,Sunderland,ENG 3,silver,73,LM,10K,76,71,72,78,44,61,5,4,H/M,Right,"1,874"
Joe Lewis,Aberdeen,SCO 1,silver,73,GK,1K,76,68,67,75,56,72,1,3,M/M,Right,909
Neri Cardozo,Defensa y Justicia,ARG 1,silver-nr,73,CM,5K,76,67,72,71,65,75,3,3,H/H,Right,"1,958"
Marco Russ,Eintracht Frankfurt,GER 1,silver,73,CB,4.5K,32,47,52,43,74,68,2,2,M/M,Right,"1,449"
Philipp Tschauner,RB Leipzig,GER 1,silver,73,GK,750,72,71,66,74,41,71,1,3,M/M,Right,790
Christian Gentner,1. FC Union Berlin,GER 1,silver,73,CM,9.9K,34,72,71,67,72,73,2,4,M/M,Right,"1,865"
Sebastian Viera,Junior de Barranquilla,COL 1,silver-nr,73,GK,2.3K,71,70,72,75,39,73,1,3,M/M,Right,901
Marcos Angeleri,Argentinos Juniors,ARG 1,silver,73,RB,6.9K,61,49,64,59,76,77,2,3,M/H,Right,"1,787"
Steven Naismith,Heart of Midlothian,SCO 1,silver,73,ST,1.4K,65,72,70,71,62,80,3,3,H/H,Right,"1,972"
John Obi Mikel,Trabzonspor,TUR 1,silver,73,CM,5.5K,54,59,71,68,78,79,3,3,M/H,Right,"1,882"
Olivier Veigneau,Kasımpaşa,TUR 1,silver,73,LB,10K,66,44,68,70,75,68,3,3,M/M,Left,"1,814"
Ismael Sosa,León,MEX 1,silver-nr,73,RM,9.2K,81,68,68,74,46,71,3,3,H/L,Right,"1,843"
Brad Jones,Al Nassr,SAU 1,silver,73,GK,850,71,69,68,71,53,75,1,2,M/M,Left,830
Leonardo Ulloa,Pachuca,MEX 1,silver,73,ST,,36,72,62,68,50,79,2,3,M/M,Right,"1,752"
Bebe,Rayo Vallecano,ESP 2,silver,73,LM,650,83,74,69,72,41,82,3,4,M/L,Right,"1,862"
Oliver Fink,Fortuna Düsseldorf,GER 1,silver-nr,73,CM,8K,40,63,72,66,70,78,2,4,H/H,Right,"1,872"
Adem Buyuk,Galatasaray,TUR 1,silver-nr,73,LM,350,76,71,66,76,29,66,3,3,H/M,Right,"1,785"
Luke Freeman,Sheffield United,ENG 1,silver,73,CAM,6.9K,75,67,72,74,52,60,3,3,M/M,Left,"1,873"
Tarik Elyounoussi,AIK,SWE 1,silver,73,ST,4.7K,82,71,67,77,47,68,4,4,H/H,Right,"1,909"
Charlie Daniels,Bournemouth,ENG 1,silver,73,LB,10K,63,61,72,72,74,64,3,3,H/M,Left,"1,920"
Tim Krul,Norwich City,ENG 1,silver-nr,73,GK,2.7K,74,72,68,75,40,68,1,2,M/M,Left,862
Andrey Eschenko,Spartak Moskva,RUS 1,silver-nr,73,RB,3K,76,57,68,69,71,69,2,3,H/M,Right,"1,847"
Nicolas Spolli,Crotone,ITA 2,silver,73,CB,600,38,39,34,44,75,71,2,3,M/M,Right,"1,316"
Fraser Forster,Celtic,SCO 1,silver,73,GK,1.2K,70,72,60,77,30,74,1,5,M/M,Right,796
Mike Jensen,Rosenborg BK,NOR 1,silver,73,CM,2.4K,73,68,72,75,63,79,3,4,H/H,Right,"1,967"
Enrico Alfonso,Brescia,ITA 1,silver-nr,73,GK,4.2K,72,72,63,73,50,73,1,3,M/M,Right,940
Lewis Grabban,Nottingham Forest,ENG 2,silver,73,ST,850,68,73,60,69,31,68,3,3,M/L,Right,"1,692"
Kevin McDonald,Fulham,ENG 2,silver,73,CDM,1.2K,49,59,70,67,70,75,3,4,M/M,Right,"1,799"
Dax McCarty,Chicago Fire,USA 1,silver-nr,73,CDM,5.9K,50,54,67,69,70,74,3,3,M/H,Right,"1,826"
Jelle Vossen,Club Brugge,BEL 1,silver,73,ST,6K,59,75,70,70,45,69,3,4,H/M,Right,"1,865"
